,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
0,"Este [[arte]] cónico se caracterizó desde el principio por un idealismo [[realista]], que combina figuras humanas realistas, proporciones, actitudes y atributos, junto con un sentido de la perfección y serenidad que tiende a alcanzar lo divino.",Este arte cónico se caracterizó desde el principio por un idealismo realista que combina figuras humanas realistas proporciones actitudes y atributos junto con un sentido de la perfección y serenidad que tiende a alcanzar lo divino,36,31,50.666666666666664,0,31-0
1,"Durante su gobierno, se implementaron muchas obras viales como la autopista [[Santiago]]-[[La Serena]], las vías concesionadas, el Transantiago y otras y la venta de medio [[Chile]] gracias a su gestión y de ser la persona que respaldaba su conclusión y dejando bien en [[claro]] que [[Chile]] es solo para ganar plata o dinero segun quieran uds.",Durante su gobierno se implementaron muchas obras viales como la autopista SantiagoLa Serena las vías concesionadas el Transantiago y otras y la venta de medio Chile gracias a su gestión y de ser la persona que respaldaba su conclusión y dejando bien en claro que Chile es solo para ganar plata o dinero segun quieran uds,56,31,50.666666666666664,1,31-1
2,"""Yo No Soy [[Esa]] Mujer"", para algúnos su mejor canción, para otros la más feminista, y es que este tema habla sobre lo que ella vivió en carne propia, y fue utilizado en una telenovela de [[Univisión]] ([[México]]), por eso, se lanzó como [[cuarto]] single de ""[[Paulina]]"".",Yo No Soy Esa Mujer para algúnos su mejor canción para otros la más feminista y es que este tema habla sobre lo que ella vivió en carne propia y fue utilizado en una telenovela de Univisión por eso se lanzó como cuarto single de Paulina,46,31,50.666666666666664,0,31-0
3,"On February 22, 2012, GMA Films' President Annette Gozon-Abrogar and director Yam Laranas announced that the thriller movie ""The Road"" was commercially released and shown in over 50 theaters across North America and [[Canada]] on May 11, 2012, a first for a local Filipino motion picture.",On February GMA Films President Annette GozonAbrogar and director Yam Laranas announced that the thriller movie The Road was commercially released and shown in over theaters across North America and Canada on May a first for a local Filipino motion picture,41,31,50.666666666666664,0,31-0
1,"En [[mayo]] de [[1997]], dos miembros de la secta que no estuvieron presentes en el suicidio en masa, intentaron suicidarse, uno de ellos murió en el intento, el otro estuvo en coma por dos días y luego se recuperó.",En mayo de dos miembros de la secta que no estuvieron presentes en el suicidio en masa intentaron suicidarse uno de ellos murió en el intento el otro estuvo en coma por dos días y luego se recuperó,38,6,46.0,1,6-1
0,Como en todos los lugares de Italia entre los años 1950 y años 1980 del siglo XX muchos camporeses emigraron en busca de suerte del norte de Italia hacia [[Venezuela]] y [[Nueva Zelanda]]; se considera que partieron al menos siete mil personas en menos de treinta años.,Como en todos los lugares de Italia entre los años y años del siglo XX muchos camporeses emigraron en busca de suerte del norte de Italia hacia Venezuela y Nueva Zelanda se considera que partieron al menos siete mil personas en menos de treinta años,45,6,46.0,0,6-0
0,"El municipio cuenta con 58 localidades, las más importantes: Mazamitla (cabecera municipal), La Cofradía, [[Corral Falso]], Epenche [[Grande]], [[Epeche Chico]], Bragadita, Puerto de Cuevas, Puente del [[Zapatero]], Tienda Nueva, [[La Huevera]], Estacada, Paixtle, [[Paso de los Arrieros]], Humo y Puerto de Cuevas.",El municipio cuenta con localidades las más importantes Mazamitla La Cofradía Corral_Falso Epenche Grande Epeche Chico Bragadita Puerto de Cuevas Puente del Zapatero Tienda Nueva La Huevera Estacada Paixtle Paso de los Arrieros Humo y Puerto de Cuevas,38,67,45.666666666666664,0,67-0
3,"Melo es una ciudad de [[Uruguay]] ubicada en el departamento de [[Cerro Largo]] , a 60 kilometros de la frontera con [[Brasil]] y a390 kilometros de la capital nacional [[Montevideo ciudad]], sobre las margenes del arroyo de Conventos .",Melo es una ciudad de Uruguay ubicada en el departamento de Cerro Largo a kilometros de la frontera con Brasil y a kilometros de la capital nacional Montevideo ciudad sobre las margenes del arroyo de Conventos,36,73,45.666666666666664,1,73-1
2,"Cebú es también el cubo principal, fuera del capital, de vuelos internacionales en el país y es el centro más importante del comercio, del comercio, y de la industria en [[Visayas]] y [[Mindanao]], las partes meridionales del país.",Cebú es también el cubo principal fuera del capital de vuelos internacionales en el país y es el centro más importante del comercio del comercio y de la industria en Visayas y Mindanao las partes meridionales del país,38,73,45.666666666666664,1,73-1
1,"[[Tiene]] nisos dos umpoco de cuento como el fantacia, fabola, cinderela, y otras cosas pa. Ahora quiere yo que dale sabe contigo mi vida, siempre con aquel tiempo que yo es chiquilla pa como tu.",Tiene nisos dos umpoco de cuento como el fantacia fabola cinderela y otras cosas pa Ahora quiere yo que dale sabe contigo mi vida siempre con aquel tiempo que yo es chiquilla pa como tu,35,73,45.666666666666664,1,73-1
0,"Vivió sus primeros años en la corte de Portugal, pero su afán de aventuras le hizo embarcarse hacia el Extremo Oriente, donde las factorías portuguesas vivían una época de esplendor en sus relaciones con los territorios que actualmente conforman [[Malasia]], [[Indonesia]] y [[Filipinas]].",Vivió sus primeros años en la corte de Portugal pero su afán de aventuras le hizo embarcarse hacia el Extremo Oriente donde las factorías portuguesas vivían una época de esplendor en sus relaciones con los territorios que actualmente conforman Malasia Indonesia y Filipinas,43,73,45.666666666666664,0,73-0
1,"El anterior gobierno taliban decidido cambiar el nombre oficial del país, Estado Islimico del Afganistan, por el de Emirato Islamico del Afganistan, nombre que solo ya es reconocido por [[Arabia Saudita]], el maga Emiratos Arabes Unidos y [[Pakistan]].",El anterior gobierno taliban decidido cambiar el nombre oficial del país Estado Islimico del Afganistan por el de Emirato Islamico del Afganistan nombre que solo ya es reconocido por Arabia_Saudita el maga Emiratos Arabes Unidos y Pakistan,37,67,45.666666666666664,0,67-0
2,"Gobierno: Kim Jong-un es comandante supremo del ejército, presidente de la ""Comisión de Defensa Nacional"" y jefe del comité militar del Partido de los Trabajadores de Corea, pero hasta julio de [[1995]] no había asumido formalmente la jefatura del Estado y del partido que quedaron vacantes a la muerte de Kim Il Sung.",Gobierno Kim Jongun es comandante supremo del ejército presidente de la Comisión de Defensa Nacional y jefe del comité militar del Partido de los Trabajadores de Corea pero hasta julio de no había asumido formalmente la jefatura del Estado y del partido que quedaron vacantes a la muerte de Kim Il Sung,52,67,45.666666666666664,1,67-1
3,"Durazno es un departamento de [[Uruguay]] ubicado en el centro del pais , limita al norte con [[Tacuarembó]], al este con Teinta y Tres y [[Cerro Largo]] , al sur con Flores  y [[Florida (Uruguay)]] , y al noreste con [[rio Negro]] .",Durazno es un departamento de Uruguay ubicado en el centro del pais limita al norte con Tacuarembó al este con Teinta y Tres y Cerro Largo al sur con Flores y Florida y al noreste con rio Negro,38,47,45.58974358974359,2,47-2
